Date set up,Site,Phloem_feeder_treatment,Ant treatment,Branch ID,Number of leaves,Phloem-feeders found,Number phloem-feeders,Density phloem-feeders,Caterpillars found1,Caterpillars found2,Caterillars found3,Caterpillars found4,Number cats found,Density cats found,Number large gen cats found,Density large gen cats found,Ants found,Caterpillars stocked1,Caterpillars stocked2,Stocked large generalist cats,Stocked density large gen cats,Stocked generalist cats,Stocked density gen cats,Membracids stocked,S1 date,S1 phloem-feeders,S1 phloem-feeders present?,S1 Number phloem-feeders,S1 Density phloem-feeders,S1 Number cats < 1cm,S1 Density cats <1cm,S1 Number cats > 1cm,S1 Density cats > 1cm,S1 Total Cats,S1 Density Total Cats,S1 Ants found,S1_Small_Generalist,S1_Small_Gen_Density,S1_Big_Generalist,S1_Big_Gen_Density,S1_Total_Generalists,S1_Gen_Density,S1_Small_Specialist,S1_Small_Spec_Density,S1_Big_Specialist,S1_Big_Spec_Density,S1_Total_Specialists,S1_Spec_Density,S1 Notes,S2 date,S2 phloem-feeders,S2 Number cats < 1cm,S2 Density cats < 1cm,S2 Number cats > 1cm,S2 Density cats > 1cm,S2 Total Cats,S2 Density total cats,S2 Ants found,S2_Small_Generalist,S2_Big_Generalist,S2_Generalist,S2_Small_Gen_Density,S2_Big_Gen_Density,S2_Gen_Density,S2_Small_Specialist,S2_Small_Spec_Density,S2_Big_Specialist,S2_Big_Spec_Density,S2 Notes,S1_S2 Total cats,S1_S2_Density_total_cats,S1_S2_SG_Small_cats,S1_S2_SG_Small_Density,S1_S2_Small_Generalist,S1_S2_Small_Gen_Density,S1_S2_Large_Generalist,S1_S2_Large_Gen_Density,S1_S2_Small_Spec_Density,S1_S2_Large_Spec_Density
2-Jun-22,Cockaponset pit,removed,exclusion,C602-1A,188,1 membracid,1,0.531914894,,,,,0,0,0,0,3 Camponotus chromaiodes,Lambdina,Zale,2,1.063829787,2,1.063829787,0,10-Jun-22,none,0,0,0,4,2.127659574,1,0.531914894,5,2.659574468,none,4,2.127659574,1,0.531914894,5,2.659574468,0,0,0,0,0,0,,20-Jun-22,none,0,0,1,0.531914894,1,0.282933454,none,0,0,0,0,0,0,0,0,1,0.531914894,,6,3.191489362,4,1.063829787,4,1.063829787,1,0.265957447,0,0.265957447
2-Jun-22,Cockaponset pit,replaced,exclusion,C602-1C,99,1 coccid,1,1.01010101,Lambdina,,,,1,1.01010101,1,1.01010101,1 C.c. 1 Formica,Lambdina,Melanolophia,2,2.02020202,2,2.02020202,1,10-Jun-22,coccids,1,2,2.02020202,0,0,1,1.01010101,1,1.01010101,none,0,0,1,1.01010101,1,1.01010101,0,0,0,0,0,0,,20-Jun-22,old coccids,3,3.03030303,1,1.01010101,4,1.020304051,none,2,1,3,2.02020202,1.01010101,3.03030303,0,0,0,0,1 micro,5,5.050505051,2,1.01010101,2,1.01010101,2,1.01010101,0,0
2-Jun-22,Cockaponset pit,replaced,control,C602-1D,256,many aphids,10,3.90625,Tolype,,,,1,0.390625,1,0.390625,1 C.c. many Crematogaster,Lambdina,Tolype,2,0.78125,2,0.78125,1,10-Jun-22,coccids_ aphids_ 1 membracid,1,13,5.078125,0,0,0,0,0,0,many Crematogaster,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,aphids_ 1 new coccid,3,1.171875,2,0.78125,5,0.305175781,1 C.c._ many Crematogaster,4,0,4,1.5625,0,1.5625,0,0,0,0,1 micro,5,1.953125,4,0.78125,4,0.78125,0,0,0,0
2-Jun-22,Cockaponset pit,removed,control,C602-1B,216,1 coccid,1,0.462962963,,,,,0,0,0,0,1 C.c. 1 Crematogaster,Lambdina,Achatia,2,0.925925926,2,0.925925926,0,10-Jun-22,none,0,0,0,1,0.462962963,1,0.462962963,2,0.925925926,1 Formica,1,0.462962963,1,0.462962963,2,0.925925926,0,0,0,0,0,0,,20-Jun-22,none,3,1.388888889,3,1.388888889,6,0.643004115,2 Formica,1,2,3,0.462962963,0.925925926,1.388888889,0,0,1,0.462962963,2 micros,8,3.703703704,2,0.462962963,2,0.462962963,3,0.694444444,0,0.231481481
2-Jun-22,Cockaponset pit,replaced,control,C602-2D,178,1 membracid_ 2 coccids,3,1.685393258,Achatia,,,,1,0.561797753,1,0.561797753,Formica,Melanolophia,Heterocampa,2,1.123595506,2,1.123595506,1,10-Jun-22,1 membracid_ coccids,1,3,1.685393258,2,1.123595506,1,0.561797753,3,1.685393258,2 C.c._ 1 Crematogaster,2,1.123595506,1,0.561797753,3,1.685393258,0,0,0,0,0,0,,20-Jun-22,none,5,2.808988764,0,0,5,0,3 Formica_ 1 Crematogaster,3,0,3,1.685393258,0,1.685393258,0,0,0,0,2 micros,8,4.494382022,5,1.404494382,5,1.404494382,1,0.280898876,0,0
2-Jun-22,Cockaponset pit,replaced,exclusion,C602-2C,154,1 coccid,1,0.649350649,Achatia,,,,1,0.649350649,1,0.649350649,Formica,Himella,Heterocampa,2,1.298701299,2,1.298701299,1,10-Jun-22,1 membracid_ coccids,1,3,1.948051948,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,3,1.948051948,0,0,3,0,1 Crematogaster,3,0,3,1.948051948,0,1.948051948,0,0,0,0,,3,1.948051948,3,0.974025974,3,0.974025974,0,0,0,0
2-Jun-22,Cockaponset pit,removed,exclusion,C602-2A,81,2 membracids_ 2 coccids,4,4.938271605,Melanolophia,,,,1,1.234567901,1,1.234567901,Formica,Melanolophia,Zale,2,2.469135802,2,2.469135802,0,10-Jun-22,none,0,0,0,0,0,0,0,0,0,1 Formica,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,1,1.234567901,0,0,1,0,none,0,0,0,0,0,0,1,1.234567901,0,0,,1,1.234567901,1,0.617283951,0,0,0,0,0.617283951,0
2-Jun-22,Cockaponset pit,removed,control,C602-2B,282,2 membracids,2,0.709219858,Lambdina,Lambdina,Lambdina,Lambdina,4,1.418439716,4,1.418439716,1 C.c.,Melanolophia,Achatia,2,0.709219858,2,0.709219858,0,10-Jun-22,none,0,0,0,0,0,0,0,0,0,3 Formica,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,2,0.709219858,0,0,2,0,5 Formica,2,0,2,0.709219858,0,0.709219858,0,0,0,0,,2,0.709219858,2,0.354609929,2,0.354609929,0,0,0,0
2-Jun-22,Cockaponset pit,removed,exclusion,C602-3A,126,2 coccids,2,1.587301587,Heterocampa,Heterocompa,Himella,,3,2.380952381,3,2.380952381,none,Himella,Heterocampa,2,1.587301587,2,1.587301587,0,10-Jun-22,none,0,0,0,1,0.793650794,0,0,1,0.793650794,1 C.c._ 1 Formica,0,0,0,0,0,0,1,0.793650794,0,0,1,0.793650794,,20-Jun-22,none,0,0,1,0.793650794,1,0.629881582,none,0,0,0,0,0,0,0,0,1,0.793650794,,2,1.587301587,1,0.396825397,0,0,0,0,0.396825397,0.396825397
2-Jun-22,Cockaponset pit,removed,control,C602-3B,137,1 membracid,1,0.729927007,Lambdina,Catocala amica,,,2,1.459854015,1,0.729927007,3 C.c.,Lambdina,Melanolophia,2,1.459854015,2,1.459854015,0,10-Jun-22,none,0,0,0,0,0,1,0.729927007,1,0.729927007,1 C.c.,0,0,1,0.729927007,1,0.729927007,0,0,0,0,0,0,,20-Jun-22,none,1,0.729927007,0,0,1,0,1 Formica,1,0,1,0.729927007,0,0.729927007,0,0,0,0,,2,1.459854015,1,0.364963504,1,0.364963504,1,0.364963504,0,0
