Model_term,LCL,Estimate,UCL,Alpha
(Intercept),-21.7580806746478,-5.67581385396162,18.2338320984434,0.05
ant_treatmentexcluded,-1.99231326340759,-0.336572559114844,1.34168734156248,0.05
pf_treatmentreplaced,-36.8020171510436,-21.1112766311257,-18.0078250441188,0.05
pf_treatmentreplaced:ant_treatmentexcluded,-2.10174450673232,0.876740510932122,16.2842709069281,0.05
siteCP,-19.2498412977359,4.54593537002121,20.076373750939,0.05
siteGH,-19.2457869977231,4.16106053846817,19.9746835081137,0.05
sitePR,-39.0986902802527,-3.71771423770501,19.2242088080819,0.05
year2020,-21.3621617305193,1.25971286041973,38.4914689150178,0.05
year2021,-36.7490802020532,-4.66540395126881,20.7329754620741,0.05
year2022,-18.9941989378245,-0.90995068961937,2.12377951185899,0.05
