"treatment","no","yes"
"removed",2,0
"replaced",2,0
"removed",1,0
"replaced",1,0
"removed",2,1
"removed",2,0
"replaced",1,0
"removed",3,1
"replaced",2,0
"removed",0,1
"removed",2,0
"replaced",2,0
"removed",1,0
"replaced",1,0
"removed",0,1
"replaced",1,0
"removed",3,0
"replaced",1,0
"removed",2,0
"removed",0,2
"removed",2,0
"removed",2,0
"removed",1,1
"replaced",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",0,1
"replaced",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"removed",1,0
"replaced",1,0
"removed",1,0
"replaced",1,0
"replaced",2,0
"replaced",2,0
"replaced",2,0
"replaced",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"replaced",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"replaced",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"removed",1,0
"removed",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"removed",1,0
"removed",1,0
"removed",3,1
"removed",0,1
"removed",1,0
"removed",2,0
"removed",2,1
"removed",1,0
"removed",2,0
"removed",1,1
"removed",1,0
"removed",1,1
"removed",1,1
"removed",1,0
"removed",1,0
"removed",2,0
"removed",1,0
"removed",1,0
"removed",1,0
"removed",0,1
"removed",1,0
"removed",3,0
"replaced",2,0
"replaced",2,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",3,0
"replaced",1,0
"replaced",1,0
"replaced",1,0
"replaced",3,0
"replaced",2,0
"replaced",1,0
"replaced",2,0
"replaced",1,0
"replaced",1,0
"replaced",6,0
"replaced",2,0
"replaced",2,0
"replaced",1,0
"replaced",3,0
"replaced",1,0
"replaced",1,0
