"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.154087042575811,0.395802855133844,0.389302503954159,0.702523489063943
"pf_treatmentreplaced",-0.0667079904482571,0.439212136957205,-0.151881027037185,0.881304734795895
"ant_treatmentexcluded",0.597056027282541,0.560676888475918,1.06488432028206,0.303770410577706
"site1",0.627659137936548,0.724853752024139,0.865911414797569,0.40017715135096
"site2",0.246831049305948,0.509129511638964,0.484809942584868,0.634814726312495
"site3",-0.50252840276145,0.526649857941181,-0.954198306871233,0.355108669553761
"year1",-1.09300738793099,0.54520562944734,-2.0047617429023,0.0633833993243063
"year2",-0.171744007305607,0.492260893157024,-0.348888180420261,0.732022285561795
"year3",0.885069646652369,0.471117662524409,1.87865944551912,0.0798666373845114
"pf_treatmentreplaced:ant_treatmentexcluded",-1.1332182403218,0.774717701673793,-1.46274989957434,0.164172488565638
