year,site,pf_treatment,ant_treatment,stocked,recovered,parasitized
2019,CP,removed,access,32,12,4
2019,CP,removed,excluded,32,19,4
2019,CP,replaced,access,32,7,0
2019,CP,replaced,excluded,32,5,0
2020,PR,removed,access,24,9,1
2020,PR,removed,excluded,,,
2020,PR,replaced,access,24,10,0
2020,PR,replaced,excluded,,,
2021,PR,removed,access,16,11,1
2021,PR,removed,excluded,,,
2021,PR,replaced,access,16,13,0
2021,PR,replaced,excluded,,,
2021,GH,removed,access,6,2,1
2021,GH,removed,excluded,,,
2021,GH,replaced,access,7,3,0
2021,GH,replaced,excluded,,,
2022,PR,removed,access,8,5,0
2022,PR,removed,excluded,8,1,0
2022,PR,replaced,access,8,6,0
2022,PR,replaced,excluded,8,2,0
2022,GH,removed,access,6,4,1
2022,GH,removed,excluded,6,6,1
2022,GH,replaced,access,6,3,0
2022,GH,replaced,excluded,6,11,0
2022,CP,removed,access,10,6,1
2022,CP,removed,excluded,10,8,2
2022,CP,replaced,access,10,6,0
2022,CP,replaced,excluded,10,7,0
2022,CK,removed,access,4,3,1
2022,CK,removed,excluded,4,2,0
2022,CK,replaced,access,4,3,0
2022,CK,replaced,excluded,4,4,0
